char;	count;	type,std_chars
頥;	66;	2,頤
蛊;	66;	2,蠱;盅
𧂀;	66;	2,藐
兾;	66;	2,冀,4,冀
𠇾;	66;	2,仕;休,4,休
电;	65;	2,曳;電
爤;	65;	2,爛
㠯;	65;	2,以;𠂤,2,以,4,以,4,呂,4,臣
𣴑;	65;	2,流,4,流
𦙃;	65;	2,胥,4,胥
𦜩;	65;	2,腦,4,腦
鎸;	64;	2,鐫
屓;	64;	2,眉;屭;贔;㞒
𦙽;	64;	4,
䗈;	63;	2,虻,4,蝱
𠂢;	63;	2,派
𡙇;	63;	2,缺
牃;	63;	2,楪
譡;	63;	2,讜
㬉;	63;	2,暖;煖,4,暖
覉;	62;	2,羈,2,羈
椘;	62;	2,楚
㪚;	62;	2,散
还;	62;	2,不;否;塢;浮;還
麕;	62;	2,麇
㗋;	62;	2,喉,4,喉
蠭;	62;	2,蜂
㢮;	61;	2,弛
旧;	61;	2,臼;舅;舊
倿;	61;	2,佞
𡶶;	61;	2,峰,4,峯
叜;	61;	2,叟
眦;	60;	2,眥
𣰆;	60;	2,㲪,4,㲪
坮;	60;	2,臺
𣧑;	60;	2,凶
垩;	60;	2,堊;聖
𧺆;	59;	2,走,4,走
𦆠;	59;	2,繢
弍;	59;	2,二,4,式
惧;	59;	2,懼
奬;	59;	2,獎
𤥎;	58;	2,琰
悮;	58;	2,誤
愸;	58;	2,整;憖
翆;	58;	2,翠
𩰖;	58;	2,鬥
宐;	58;	2,宜
𧋠;	58;	2,蠡,4,蠡
歺;	58;	2,歹;𣦵
㐭;	57;	2,廩
馚;	57;	2,芬;馩
譍;	57;	2,應
𣱦;	57;	2,氛,4,氛,4,氛
𢪨;	57;	2,抌,4,抗
焴;	56;	2,煜
嵠;	56;	2,谿
厈;	56;	2,斥;厂;𠨭,4,岸
𢰔;	56;	2,插,4,插
叁;	56;	2,三;參
𣲇;	56;	4,汚
髄;	55;	2,髓
𦵮;	55;	2,薛,4,薛
靤;	55;	2,皰
懴;	55;	2,懺
帮;	55;	2,幫
𦬆;	54;	2,芒,4,芒
𡭊;	54;	2,對
沠;	54;	4,派
𨽁;	54;	2,陬,4,陬
𧘂;	54;	2,衝,4,衝
𢷏;	54;	2,撲,4,撲,4,撲
狢;	54;	2,貉
桺;	54;	2,柳
𣐍;	54;	2,橛,4,橛
臋;	53;	2,臀,4,臀
𤨔;	53;	2,環,4,環
転;	53;	2,轉
嘱;	53;	2,囑,4,囑
𪏭;	53;	2,黎,4,黎
䠱;	52;	2,躅
鬂;	52;	2,鬢
畨;	52;	2,番
灵;	52;	2,靈
笟;	52;	2,箍
挙;	52;	2,舉
𡱝;	52;	2,犀,4,犀
亰;	51;	2,京;原
𧮂;	51;	2,譖
謿;	51;	2,嘲
𧈧;	51;	2,雖
炉;	51;	2,爐
矅;	51;	2,曜;𥌺
𣏾;	51;	4,杙
㧞;	51;	2,拔
𠕂;	50;	2,再
垖;	50;	2,堆,4,堆
䛡;	50;	2,話
难;	50;	2,難
嚯;	50;	2,謔
两;	50;	2,兩,4,兩
𩀌;	50;	2,離,4,離
涱;	49;	2,漲,4,漲
独;	49;	2,獨
𩍁;	49;	2,鞴
蘃;	49;	2,蕊,4,蕊
㥧;	49;	2,順
堺;	48;	2,界
慽;	48;	2,慼
栂;	48;	2,梅
𦍬;	48;	2,辜,4,辜
